x,y,value
-1,0,-0.96402758
-0.99,0,-0.96258698
-0.98,0,-0.96108983
-0.97,0,-0.95953401
-0.96,0,-0.95791731
-0.95,0,-0.95623746
-0.94,0,-0.95449211
-0.93,0,-0.95267884
-0.92,0,-0.95079514
-0.91,0,-0.94883842
-0.9,0,-0.94680601
-0.89,0,-0.94469516
-0.88,0,-0.94250301
-0.87,0,-0.94022664
-0.86,0,-0.93786303
-0.85,0,-0.93540907
-0.84,0,-0.93286155
-0.83,0,-0.93021718
-0.82,0,-0.92747257
-0.81,0,-0.92462422
-0.8,0,-0.92166855
-0.79,0,-0.91860189
-0.78,0,-0.91542046
-0.77,0,-0.91212037
-0.76,0,-0.90869766
-0.75,0,-0.90514825
-0.74,0,-0.90146799
-0.73,0,-0.8976526
-0.72,0,-0.89369773
-0.71,0,-0.88959892
-0.7,0,-0.88535165
-0.69,0,-0.88095127
-0.68,0,-0.87639307
-0.67,0,-0.87167225
-0.66,0,-0.86678393
-0.65,0,-0.86172316
-0.64,0,-0.85648492
-0.63,0,-0.85106411
-0.62,0,-0.8454556
-0.61,0,-0.83965418
-0.6,0,-0.83365461
-0.59,0,-0.82745161
-0.58,0,-0.82103988
-0.57,0,-0.81441409
-0.56,0,-0.80756892
-0.55,0,-0.80049902
-0.54,0,-0.7931991
-0.53,0,-0.78566386
-0.52,0,-0.77788807
-0.51,0,-0.76986654
-0.5,0,-0.76159416
-0.49,0,-0.7530659
-0.48,0,-0.74427687
-0.47,0,-0.73522225
-0.46,0,-0.72589741
-0.45,0,-0.71629787
-0.44,0,-0.70641932
-0.43,0,-0.69625767
-0.42,0,-0.68580906
-0.41,0,-0.67506987
-0.4,0,-0.66403677
-0.39,0,-0.65270671
-0.38,0,-0.64107696
-0.37,0,-0.62914516
-0.36,0,-0.6169093
-0.35,0,-0.60436778
-0.34,0,-0.5915194
-0.33,0,-0.57836341
-0.32,0,-0.56489955
-0.31,0,-0.55112803
-0.3,0,-0.53704957
-0.29,0,-0.52266543
-0.28,0,-0.50797743
-0.27,0,-0.49298797
-0.26,0,-0.47770001
-0.25,0,-0.46211716
-0.24,0,-0.44624361
-0.23,0,-0.43008421
-0.22,0,-0.41364444
-0.21,0,-0.39693043
-0.2,0,-0.37994896
-0.19,0,-0.36270747
-0.18,0,-0.34521403
-0.17,0,-0.32747739
-0.16,0,-0.30950692
-0.15,0,-0.29131261
-0.14,0,-0.27290508
-0.13,0,-0.25429553
-0.12,0,-0.23549575
-0.11,0,-0.21651806
-0.1,0,-0.19737532
-0.09,0,-0.17808087
-0.08,0,-0.1586485
-0.07,0,-0.13909245
-0.06,0,-0.1194273
-0.05,0,-0.099667995
-0.04,0,-0.079829769
-0.03,0,-0.059928104
-0.02,0,-0.03997868
-0.01,0,-0.019997334
0,0,0
0.01,0,0.019997334
0.02,0,0.03997868
0.03,0,0.059928104
0.04,0,0.079829769
0.05,0,0.099667995
0.06,0,0.1194273
0.07,0,0.13909245
0.08,0,0.1586485
0.09,0,0.17808087
0.1,0,0.19737532
0.11,0,0.21651806
0.12,0,0.23549575
0.13,0,0.25429553
0.14,0,0.27290508
0.15,0,0.29131261
0.16,0,0.30950692
0.17,0,0.32747739
0.18,0,0.34521403
0.19,0,0.36270747
0.2,0,0.37994896
0.21,0,0.39693043
0.22,0,0.41364444
0.23,0,0.43008421
0.24,0,0.44624361
0.25,0,0.46211716
0.26,0,0.47770001
0.27,0,0.49298797
0.28,0,0.50797743
0.29,0,0.52266543
0.3,0,0.53704957
0.31,0,0.55112803
0.32,0,0.56489955
0.33,0,0.57836341
0.34,0,0.5915194
0.35,0,0.60436778
0.36,0,0.6169093
0.37,0,0.62914516
0.38,0,0.64107696
0.39,0,0.65270671
0.4,0,0.66403677
0.41,0,0.67506987
0.42,0,0.68580906
0.43,0,0.69625767
0.44,0,0.70641932
0.45,0,0.71629787
0.46,0,0.72589741
0.47,0,0.73522225
0.48,0,0.74427687
0.49,0,0.7530659
0.5,0,0.76159416
0.51,0,0.76986654
0.52,0,0.77788807
0.53,0,0.78566386
0.54,0,0.7931991
0.55,0,0.80049902
0.56,0,0.80756892
0.57,0,0.81441409
0.58,0,0.82103988
0.59,0,0.82745161
0.6,0,0.83365461
0.61,0,0.83965418
0.62,0,0.8454556
0.63,0,0.85106411
0.64,0,0.85648492
0.65,0,0.86172316
0.66,0,0.86678393
0.67,0,0.87167225
0.68,0,0.87639307
0.69,0,0.88095127
0.7,0,0.88535165
0.71,0,0.88959892
0.72,0,0.89369773
0.73,0,0.8976526
0.74,0,0.90146799
0.75,0,0.90514825
0.76,0,0.90869766
0.77,0,0.91212037
0.78,0,0.91542046
0.79,0,0.91860189
0.8,0,0.92166855
0.81,0,0.92462422
0.82,0,0.92747257
0.83,0,0.93021718
0.84,0,0.93286155
0.85,0,0.93540907
0.86,0,0.93786303
0.87,0,0.94022664
0.88,0,0.94250301
0.89,0,0.94469516
0.9,0,0.94680601
0.91,0,0.94883842
0.92,0,0.95079514
0.93,0,0.95267884
0.94,0,0.95449211
0.95,0,0.95623746
0.96,0,0.95791731
0.97,0,0.95953401
0.98,0,0.96108983
0.99,0,0.96258698
1,0,0.96402758
-1,0.01,-0.96378974
-0.99,0.01,-0.96234949
-0.98,0.01,-0.96085271
-0.97,0.01,-0.95929727
-0.96,0.01,-0.95768097
-0.95,0.01,-0.95600154
-0.94,0.01,-0.95425662
-0.93,0.01,-0.9524438
-0.92,0.01,-0.95056056
-0.91,0.01,-0.94860433
-0.9,0.01,-0.94657242
-0.89,0.01,-0.94446208
-0.88,0.01,-0.94227047
-0.87,0.01,-0.93999467
-0.86,0.01,-0.93763164
-0.85,0.01,-0.93517829
-0.84,0.01,-0.9326314
-0.83,0.01,-0.92998768
-0.82,0.01,-0.92724374
-0.81,0.01,-0.9243961
-0.8,0.01,-0.92144116
-0.79,0.01,-0.91837526
-0.78,0.01,-0.9151946
-0.77,0.01,-0.91189533
