condition,run,value
Control,01,15.254477
Control,02,14.151013
Control,03,10.857704
Control,04,11.441664
Control,05,9.6414781
Control,06,26.030008
Control,07,13.111848
Control,08,21.094166
Control,09,12.805986
Control,10,11.584348
Control,11,24.037227
Control,12,11.46609
Control,13,18.904709
Control,14,15.257315
Control,15,13.664435
Control,16,13.976653
Control,17,10.037261
Control,18,13.190299
Control,19,20.134118
Control,20,14.21926
Control,21,17.159992
Control,22,15.534629
Control,23,16.61531
Control,24,14.043435
Control,25,12.52462
Control,26,19.396355
Control,27,16.423563
Control,28,10.086205
Control,29,21.827885
Control,30,15.958928
Control,31,13.756832
Control,32,14.10301
Control,33,24.337314
Control,34,14.833772
Control,35,20.305729
Control,36,10.073757
Perturbed,01,16.709518
Perturbed,02,26.538175
Perturbed,03,16.315392
Perturbed,04,19.804547
Perturbed,05,27.892851
Perturbed,06,15.194603
Perturbed,07,30.529083
Perturbed,08,23.272719
Perturbed,09,18.20579
Perturbed,10,20.150953
Perturbed,11,35.142261
Perturbed,12,18.060861
Perturbed,13,19.680232
Perturbed,14,24.529359
Perturbed,15,46.22365
Perturbed,16,28.216875
Perturbed,17,15.090337
Perturbed,18,23.015868
Perturbed,19,20.825487
Perturbed,20,20.566158
Perturbed,21,21.059755
Perturbed,22,10.336243
Perturbed,23,29.621251
Perturbed,24,16.641082
Perturbed,25,26.118848
Perturbed,26,11.007088
Perturbed,27,19.496907
Perturbed,28,20.764653
Perturbed,29,7.3204927
Perturbed,30,6.5027525
Perturbed,31,14.827528
Perturbed,32,20.214818
Perturbed,33,25.493057
Perturbed,34,20.225792
Perturbed,35,26.048729
Perturbed,36,15.689202
