condition,run,area,speed
Control,01,12,0.95958913
Control,02,13.764706,1.3005819
Control,03,15.529412,1.1606411
Control,04,17.294118,1.3069561
Control,05,19.058824,1.7483065
Control,06,20.823529,1.5719389
Control,07,22.588235,1.7643183
Control,08,24.352941,1.8892533
Control,09,26.117647,1.9243731
Control,10,27.882353,1.8937448
Control,11,29.647059,2.3268909
Control,12,31.411765,2.5920862
Control,13,33.176471,2.6393159
Control,14,34.941176,2.3905639
Control,15,36.705882,2.6074978
Control,16,38.470588,2.8019499
Control,17,40.235294,2.9545071
Control,18,42,2.9361808
Perturbed,01,12,1.3637016
Perturbed,02,13.764706,1.5299322
Perturbed,03,15.529412,1.6755346
Perturbed,04,17.294118,2.0457224
Perturbed,05,19.058824,2.0768238
Perturbed,06,20.823529,1.940666
Perturbed,07,22.588235,2.2840244
Perturbed,08,24.352941,2.8073676
Perturbed,09,26.117647,2.68629
Perturbed,10,27.882353,2.9627772
Perturbed,11,29.647059,3.1268539
Perturbed,12,31.411765,3.1239951
Perturbed,13,33.176471,3.2856129
Perturbed,14,34.941176,3.4007494
Perturbed,15,36.705882,3.8647642
Perturbed,16,38.470588,3.7773051
Perturbed,17,40.235294,3.9510504
Perturbed,18,42,4.2059739
