condition,run,time,value
Control,01,0,8.5
Control,01,2,12.7
Control,01,4,16.9
Control,01,6,21.1
Control,01,8,25.3
Control,01,10,29.5
Control,01,12,33.7
Control,02,0,9.1
Control,02,2,13.38
Control,02,4,17.66
Control,02,6,21.94
Control,02,8,26.22
Control,02,10,30.5
Control,02,12,34.78
Control,03,0,9.7
Control,03,2,14.06
Control,03,4,18.42
Control,03,6,22.78
Control,03,8,27.14
Control,03,10,31.5
Control,03,12,35.86
Control,04,0,10.3
Control,04,2,14.74
Control,04,4,19.18
Control,04,6,23.62
Control,04,8,28.06
Control,04,10,32.5
Control,04,12,36.94
Control,05,0,10.9
Control,05,2,15.42
Control,05,4,19.94
Control,05,6,24.46
Control,05,8,28.98
Control,05,10,33.5
Control,05,12,38.02
Control,06,0,11.5
Control,06,2,16.1
Control,06,4,20.7
Control,06,6,25.3
Control,06,8,29.9
Control,06,10,34.5
Control,06,12,39.1
Perturbed,01,0,8.5
Perturbed,01,2,18.849759
Perturbed,01,4,25.721473
Perturbed,01,6,30.261785
Perturbed,01,8,33.239311
Perturbed,01,10,35.169271
Perturbed,01,12,36.397025
Perturbed,02,0,9.1
Perturbed,02,2,19.529759
Perturbed,02,4,26.481473
Perturbed,02,6,31.101785
Perturbed,02,8,34.159311
Perturbed,02,10,36.169271
Perturbed,02,12,37.477025
Perturbed,03,0,9.7
Perturbed,03,2,20.209759
Perturbed,03,4,27.241473
Perturbed,03,6,31.941785
Perturbed,03,8,35.079311
Perturbed,03,10,37.169271
Perturbed,03,12,38.557025
Perturbed,04,0,10.3
Perturbed,04,2,20.889759
Perturbed,04,4,28.001473
Perturbed,04,6,32.781785
Perturbed,04,8,35.999311
Perturbed,04,10,38.169271
Perturbed,04,12,39.637025
Perturbed,05,0,10.9
Perturbed,05,2,21.569759
Perturbed,05,4,28.761473
Perturbed,05,6,33.621785
Perturbed,05,8,36.919311
Perturbed,05,10,39.169271
Perturbed,05,12,40.717025
Perturbed,06,0,11.5
Perturbed,06,2,22.249759
Perturbed,06,4,29.521473
Perturbed,06,6,34.461785
Perturbed,06,8,37.839311
Perturbed,06,10,40.169271
Perturbed,06,12,41.797025
